,Date,index_returns
0,2017-12-31,1.4389464252560886
1,2018-01-31,-0.16622537597966536
2,2018-02-28,-0.18911559225150842
3,2018-03-31,-0.4248729672309304
4,2018-04-30,0.7310177059695726
5,2018-05-31,-0.2722092737375228
6,2018-06-30,-0.254103078964508
7,2018-07-31,0.005242715632495454
8,2018-08-31,-0.21139200357543175
9,2018-09-30,-0.02432832034954535
10,2018-10-31,-0.12253630978730579
11,2018-11-30,-0.38434311888403083
12,2018-12-31,-0.05517546369761461
13,2019-01-31,-0.12066354625550657
14,2019-02-28,0.17566079582517946
15,2019-03-31,0.16337899381230958
16,2019-04-30,0.12240311645103064
17,2019-05-31,0.5553651920292071
18,2019-06-30,0.02563228338884671
19,2019-07-31,-0.1808594515807329
20,2019-08-31,-0.18135394364768231
21,2019-09-30,-0.11516730750897708
22,2019-10-31,0.13555852439234606
23,2019-11-30,-0.2121640511837669
24,2019-12-31,-0.006752064357369747
25,2020-01-31,0.48423575438412136
26,2020-02-29,-0.035116000435682415
27,2020-03-31,-0.3024123450658117
28,2020-04-30,0.3369608311150307
29,2020-05-31,0.07233764426073752
30,2020-06-30,-0.035997674838593174
31,2020-07-31,0.3282234717981891
32,2020-08-31,0.1531987385318574
33,2020-09-30,-0.14346076228042026
34,2020-10-31,0.029015870041030567
35,2020-11-30,0.4628540701809163
36,2020-12-31,0.1111845615699294
37,2021-01-31,0.36298276363422954
38,2021-02-28,0.5214029868274255
39,2021-03-31,0.3631995368583558
40,2021-04-30,0.3863384342426259
41,2021-05-31,-0.2863235499341382
42,2021-06-30,-0.1951105515175795
43,2021-07-31,0.041489399523600756
44,2021-08-31,0.34524486823540124
45,2021-09-30,-0.12324752274255546
46,2021-10-31,0.25944845616929313
47,2021-11-30,-0.03279266167486938
48,2021-12-31,-0.1591950358962987
